Worldwide Total  System Sales Sales,,,,,,,,
"(Total sales in $M, calendar year)",,,,,,,,
,,,,,,,,
AOW,MSTRID,COMPANY,2016,2017,2018,2019,2020,
NA,AMAT,Applied Materials,7652.5,10611.8,10869.1,10224.2,12540.4,
EU,ASML,ASML,5272.0,7167.3,10175.9,10075.3,11763.5,
NA,LAM,Lam Research,5189.8,8133.2,9004.2,7700.8,9723.2,
JA,TEL,Tokyo Electron,4896.4,7246.6,9043.7,7594.3,8803.2,
NA,KLAC,KLA,2444.8,2847.8,3291.8,3701.6,4285.3,
NA,TER,Teradyne,1135.0,1390.0,1203.0,1233.0,1922.0,
JA,ADVT,Advantest,967.4,1156.4,1985.2,1899.5,1806.8,
JA,DNS,SCREEN,1519.4,1565.3,1947.9,1823.2,1771.1,
JA,HTL,Hitachi High-Tech,920.1,993.4,1125.6,1162.1,1258.2,
EU,ASM,ASMI,511.2,647.0,770.9,1019.6,1198.4,
JA,KSE,Kokusai,580.6,961.7,1188.8,831.3,1047.6,
JA,NKN,Nikon,582.8,537.7,444.0,965.8,932.7,
JA,DAIF,Daifuku,472.3,689.9,905.8,1029.9,860.1,
KS,SEMES,Semes,703.1,1227.1,943.4,383.0,849.3,
ROW,ASMPT,ASM Pacific,790.1,935.0,976.4,672.8,768.9,
JA,DISCO,DISCO,498.7,687.6,653.5,535.3,741.8,
JA,CAN,Canon,355.2,430.5,668.5,563.0,711.9,
JA,MML,Muratec,605.5,406.1,681.3,720.5,644.5,
JA,EBARA,EBARA,396.2,484.7,486.5,424.2,527.4,
JA,TSCL,Tokyo Seimitsu,378.4,445.6,577.3,498.2,525.6,
ROW,KLIC,Kulicke & Soffa,437.0,653.0,628.7,331.0,517.0,
KS,WIPS,WONIK IPS,90.6,333.4,386.2,306.2,454.8,
NA,ONTO,Onto Innovation,NA,NA,NA,82.3,432.3,
JA,LSR,Lasertec,106.3,123.3,185.6,222.9,430.9,
EU,BESI,Besi,356.7,589.1,508.0,323.2,410.2,
JA,NFT,NuFlare Tech,338.0,298.4,356.7,402.0,389.1,
NA,COHU,Cohu,251.5,333.0,334.5,392.8,336.6,
NA,ACLS,Axcelis,164.3,288.2,316.9,213.6,329.5,
CH,NAURA,NAURA,NA,147.9,243.7,251.6,280.8,
JA,UVC,ULVAC,223.2,247.0,360.2,256.5,279.5,
EU,KLS,SUSS MicroTec,147.4,162.8,170.4,167.0,207.6,
NA,MATT,Mattson Tech,112.6,138.7,165.1,182.4,207.2,
ROW,NOVA,Nova,79.9,101.8,117.9,139.6,198.4,
JA,TWE,TOWA,210.4,206.8,211.7,168.7,187.9,
JA,JEOL,JEOL,14.8,17.5,72.1,136.0,184.8,
NA,VEE,Veeco,150.0,180.9,217.4,190.2,178.6,
KS,PSKT,PSK,129.3,220.3,264.5,129.3,174.5,
NA,BRKA,Brooks,122.4,157.0,176.3,157.7,168.7,
EU,CZI,ZEISS,111.7,163.5,153.4,166.5,166.5,
CH,AMEC,AMEC,76.6,72.9,149.1,151.5,160.4,
ROW,CAMT,CAMTEK,76.7,87.5,116.6,125.7,146.3,
EU,EVG,EV Group,111.2,116.9,137.8,144.1,145.3,
NA,ACMR,ACM Research,14.0,19.8,63.8,100.0,144.9,
EU,EVAT,Evatec,160.6,144.0,151.5,122.7,128.8,
KS,ETC,Eugene Tech,96.4,82.9,150.6,119.9,121.6,
EU,BRUK,"Bruker, AXS",129.1,139.8,136.3,112.3,115.4,
KS,TECHW,TechWing,107.3,149.9,145.6,110.1,105.5,
