HS6,zero,positive,sigma
010110,1,0,
010190,1,0,
010210,0,0,-12.11
010290,0,0,-7.9326868
010310,0,0,-9.1606398
010391,1,0,-7.9250288
010392,0,0,-6.6894183
010410,1,0,
010420,1,0,
010511,0,0,-2.9398201
010512,1,0,-2.9398201
010519,1,0,-2.9398201
010594,1,0,-2.9398201
010599,1,0,-2.9398201
010611,1,0,
010612,1,0,
010619,1,0,
010620,1,0,
010631,1,0,
010632,1,0,
010639,1,0,
010690,1,0,
020110,0,0,-11.334786
020120,0,0,-10.940371
020130,0,0,-6.8895521
020210,0,0,-6.3027945
020220,0,0,-3.1692281
020230,0,0,-1.6884294
020311,0,0,-24.725872
020312,0,0,-16.949162
020319,0,0,-14.574718
020321,0,0,-6.8384371
020322,0,0,-9.2119598
020329,0,0,-11.731867
020410,0,0,-3.3554697
020421,0,0,-12.077007
020422,0,0,-9.0017405
020423,0,0,-5.0596533
020430,1,0,-6.1678948
020441,0,0,-8.2720575
020442,0,0,-1.753659
020443,0,0,-3.6556754
020450,1,0,-6.1678948
020500,1,0,
020610,0,0,-13.256272
020621,0,0,-20.72019
020622,0,0,-3.5554814
020629,0,0,-2.1426246
020630,0,0,-4.1372676
020641,1,0,-9.0022802
020649,0,0,-8.9558945
020680,0,0,-10.24823
020690,1,0,-9.0022802
020711,0,0,-16.128057
020712,0,0,-6.4100399
020713,0,0,-7.6934509
020714,0,0,-2.8830311
020724,0,0,-14.327105
020725,0,0,-9.2872086
020726,0,0,-18.254862
020727,0,0,-1.4999976
020732,0,0,-9.6078768
020733,0,0,-6.3348422
020734,1,0,-8.6470928
020735,1,0,-8.6470928
020736,0,0,-2.6915524
020810,1,0,
020830,1,0,
020840,1,0,
020850,1,0,
020890,1,0,
020900,0,0,-.89504528
021011,0,0,-4.6347289
021012,0,0,-10.267958
021019,1,0,-5.7732782
021020,0,0,-2.4171474
021091,1,0,-5.7732782
021092,1,0,-5.7732782
021093,1,0,-5.7732782
021099,0,1,-5.7732782
030110,1,0,-8.7335386
030191,0,0,-20.204826
030192,1,0,-8.7335386
030193,0,0,-9.0024691
030194,0,0,-4.9716625
030195,0,0,-4.5802865
030199,0,0,-4.9084487
030211,0,0,-24.9737
030212,1,0,-18.021744
030219,1,0,-18.021744
030221,0,0,-9.7201395
030222,1,0,-18.021744
030223,1,0,-18.021744
030229,0,0,-8.4029264
030231,1,0,-18.021744
030232,0,0,-8.2478609
