"Period","Reporter","TradeValue","label"
2016,"Japan",0.641135318,NA
2017,"Japan",1.044154698,NA
2018,"Japan",1.498503409,NA
2019,"Japan",1.125901529,NA
2020,"Japan",1.441385171,"Japan"
2016,"Malaysia",0.443766593,NA
2017,"Malaysia",0.670390138,NA
2018,"Malaysia",0.949388083,NA
2019,"Malaysia",1.1782646,NA
2020,"Malaysia",0.556029674,"Malaysia"
2016,"Other Asia, nes",0.263932143,NA
2017,"Other Asia, nes",0.431999887,NA
2018,"Other Asia, nes",0.452983571,NA
2019,"Other Asia, nes",0.231700101,NA
2020,"Other Asia, nes",0.340484313,"Other Asia, nes"
2016,"Rest of world",1.218271426,NA
2017,"Rest of world",1.398790204,NA
2018,"Rest of world",1.687147862,NA
2019,"Rest of world",1.652276161,NA
2020,"Rest of world",1.891627851,"Rest of world"
2016,"USA",1.113372551,NA
2017,"USA",0.880475051,NA
2018,"USA",1.041050755,NA
2019,"USA",0.869333261,NA
2020,"USA",0.981998555,"USA"
