"Period","Reporter","TradeValue","label"
2016,"Japan",9.319590471,NA
2017,"Japan",12.028532758,NA
2018,"Japan",13.9446305,NA
2019,"Japan",13.795971043,NA
2020,"Japan",14.679193994,"Japan"
2016,"Netherlands",4.312960748,NA
2017,"Netherlands",6.2377637,NA
2018,"Netherlands",9.752636508,NA
2019,"Netherlands",10.608965338,NA
2020,"Netherlands",11.74472174,"Netherlands"
2016,"Rest of world",9.660754522,NA
2017,"Rest of world",12.778463491,NA
2018,"Rest of world",14.075139149,NA
2019,"Rest of world",16.208055949,NA
2020,"Rest of world",18.035615896,"Rest of world"
2016,"USA",10.568203812,NA
2017,"USA",14.052510066,NA
2018,"USA",14.24438541,NA
2019,"USA",11.777129115,NA
2020,"USA",14.712386058,"USA"
