"","pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"1","H5","2017",2017-01-01,"2017","6","1","2","Export","8","Albania","ALB","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","3279",NA,"3279",NA,77377,NA,NA,"0"
"2","H5","2017",2017-01-01,"2017","6","1","2","Export","12","Algeria","DZA","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","1333",NA,"1333",NA,3091,NA,NA,"0"
"3","H5","2017",2017-01-01,"2017","6","1","2","Export","12","Algeria","DZA","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","327",NA,"327",NA,1947,NA,NA,"6"
"4","H5","2017",2017-01-01,"2017","6","1","2","Export","36","Australia","AUS","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","5479",NA,"5479",NA,110908,NA,NA,"0"
"5","H5","2017",2017-01-01,"2017","6","1","2","Export","20","Andorra","AND","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","225",NA,"225",NA,2675,NA,NA,"0"
"6","H5","2017",2017-01-01,"2017","6","1","2","Export","36","Australia","AUS","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","495804",NA,"495804",NA,10563633,NA,NA,"6"
"7","H5","2017",2017-01-01,"2017","6","1","2","Export","12","Algeria","DZA","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"23",NA,1425,NA,NA,"6"
"8","H5","2017",2017-01-01,"2017","6","1","2","Export","20","Andorra","AND","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"20528",NA,177322,NA,NA,"2"
"9","H5","2017",2017-01-01,"2017","6","1","2","Export","20","Andorra","AND","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","290",NA,"290",NA,5920,NA,NA,"0"
"10","H5","2017",2017-01-01,"2017","6","1","2","Export","40","Austria","AUT","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","246317",NA,"246317",NA,438264,NA,NA,"6"
"11","H5","2017",2017-01-01,"2017","6","1","2","Export","40","Austria","AUT","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","381550",NA,"381550",NA,22250834,NA,NA,"6"
"12","H5","2017",2017-01-01,"2017","6","1","2","Export","36","Australia","AUS","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","800006",NA,"800006",NA,2264104,NA,NA,"0"
"13","H5","2017",2017-01-01,"2017","6","1","2","Export","40","Austria","AUT","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","6013360",NA,"6013360",NA,55010981,NA,NA,"6"
"14","H5","2017",2017-01-01,"2017","6","1","2","Export","36","Australia","AUS","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","2182172",NA,"2182172",NA,6681094,NA,NA,"0"
"15","H5","2017",2017-01-01,"2017","6","1","2","Export","40","Austria","AUT","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","2774077",NA,"2774077",NA,38420013,NA,NA,"6"
"16","H5","2017",2017-01-01,"2017","6","1","2","Export","36","Australia","AUS","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","139234",NA,"139234",NA,7169812,NA,NA,"6"
"17","H5","2017",2017-01-01,"2017","4","0","2","Export","36","Australia","AUS","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","1","No Quantity",NA,"","0",NA,NA,NA,31512987,NA,NA,"6"
